Player_x,Player_y,Aimer_x,Aimer_y,Theta
180,350,180,80,0
180,351,181,80,0
180,352,182,80,0
180,353,183,80,0
180,354,184,80,0
180,355,185,80,0
180,356,186,80,0
180,357,187,80,0
180,358,188,80,0
180,359,189,80,0
180,360,190,80,0
180,361,191,80,0
180,362,192,80,0
180,363,193,80,0
180,364,194,80,0
180,365,195,80,0
180,366,196,80,0
180,367,197,80,0
180,368,198,80,0
180,369,199,80,0
180,370,200,80,0
180,371,199,80,0
180,372,198,80,0
180,373,197,80,0
180,374,196,80,0
180,375,195,80,0
180,376,194,80,0
180,377,193,80,0
180,378,194,80,0
180,379,195,80,0
180,380,196,80,0
180,381,197,80,0
180,382,198,80,0
180,383,199,80,0
180,384,200,80,0
180,385,199,80,0
180,386,198,80,0
180,387,197,80,0
180,388,196,80,0
180,389,195,80,0
180,390,194,80,0
180,391,193,80,0
180,392,194,80,0
180,393,195,80,0
180,394,196,80,0
180,395,197,80,0
180,396,198,80,0
180,397,199,80,0
180,398,200,80,0
180,399,199,80,0
180,400,198,80,0
180,401,197,80,0
180,402,196,80,0
180,403,195,80,0
180,404,194,80,0
180,405,193,80,0
180,406,194,80,0
180,407,195,80,0
180,408,196,80,0
180,409,197,80,0
180,410,198,80,0
180,411,199,80,0
180,412,200,80,0
180,413,199,80,0
180,414,198,80,0
180,415,197,80,0
180,416,196,80,0
180,417,195,80,0
180,418,194,80,0
180,419,193,80,0
180,420,194,80,0
180,421,195,80,0
180,422,196,80,0
180,423,197,80,0
180,424,198,80,0
180,425,199,80,0
180,426,200,80,0
180,427,199,80,0
180,428,198,80,0
180,429,197,80,0
180,430,196,80,0
180,431,195,80,0
180,432,194,80,0
180,433,193,80,0
180,434,194,80,0
180,435,195,80,0
180,436,196,80,0
180,437,197,80,0
180,438,198,80,0
180,437,199,80,330.82
181,437,200,80,331.07
182,436,199,80,330.93
183,436,198,80,331.03999999999996
184,435,197,80,330.9
185,435,196,80,331.01
186,434,195,80,330.88
186,434,194,80,330.99
187,433,193,80,330.99
188,433,194,80,331.1
189,432,195,80,330.96000000000004
190,432,196,80,331.07
191,431,197,80,330.93
192,431,198,80,331.05
193,430,199,80,330.9
193,430,200,80,331.02
194,429,199,80,331.02
195,429,198,80,331.14
196,428,197,80,330.99
197,428,196,80,331.11
198,427,195,80,330.96000000000004
199,427,194,80,331.08000000000004
200,426,193,80,330.93
200,426,194,80,331.05
201,425,195,80,331.05
202,425,196,80,331.18
203,424,197,80,331.02
204,424,198,80,331.15
205,423,199,80,330.99
206,423,200,80,331.12
207,422,199,80,330.96000000000004
207,422,198,80,331.09000000000003
208,422,197,80,331.09000000000003
209,421,196,80,330.93
210,421,195,80,331.06
211,420,194,80,330.9
212,420,193,80,331.03
213,419,194,80,330.86
214,419,195,80,331.0
214,418,196,80,330.83000000000004
215,418,197,80,331.13
216,417,198,80,330.96000000000004
217,417,199,80,331.1
218,416,200,80,330.93
219,416,199,80,331.07
220,415,198,80,330.89
221,415,197,80,331.03
221,414,196,80,330.86
222,414,195,80,331.16999999999996
223,413,194,80,331.0
224,413,193,80,331.14
225,412,194,80,330.96000000000004
226,412,195,80,331.11
227,411,196,80,330.93
228,411,197,80,331.07
228,410,198,80,330.89
229,410,199,80,331.22
230,409,200,80,331.03999999999996
231,409,199,80,331.19
232,408,198,80,331.0
233,408,197,80,331.15
234,407,196,80,330.96000000000004
235,407,195,80,331.12
235,406,194,80,330.93
236,406,193,80,331.28
237,406,194,80,331.08000000000004
238,405,195,80,330.89
239,405,196,80,331.05
240,404,197,80,330.84000000000003
241,404,198,80,331.01
242,403,199,80,330.8
242,403,200,80,330.97
243,402,199,80,330.97
244,402,198,80,331.13
245,401,197,80,330.91999999999996
246,401,196,80,331.09000000000003
247,400,195,80,330.88
248,400,194,80,331.05
249,399,193,80,330.84000000000003
249,399,194,80,331.01
250,398,195,80,331.01
251,398,196,80,331.19
252,397,197,80,330.97
253,397,198,80,331.15
254,396,199,80,330.91999999999996
255,396,200,80,331.11
256,395,199,80,330.88
256,395,198,80,331.06
257,394,197,80,331.06
258,394,196,80,331.25
259,393,195,80,331.02
260,393,194,80,331.21000000000004
261,392,193,80,330.97
262,392,194,80,331.16999999999996
263,391,195,80,330.91999999999996
263,391,196,80,331.12
264,391,197,80,331.12
265,390,198,80,330.87
266,390,199,80,331.07
267,389,200,80,330.82
268,389,199,80,331.02
269,388,198,80,330.76
270,388,197,80,330.97
270,387,196,80,330.7
271,387,195,80,331.19
272,386,194,80,330.91999999999996
273,386,193,80,331.14
274,385,194,80,330.86
275,385,195,80,331.09000000000003
276,384,196,80,330.8
277,384,197,80,331.03
277,383,198,80,330.74
278,383,199,80,331.27
279,382,200,80,330.98
280,382,201,80,331.22
281,381,200,80,330.91999999999996
282,381,199,80,331.15999999999997
283,380,198,80,330.85
284,380,197,80,331.1
284,379,196,80,330.78999999999996
285,379,195,80,331.36
286,378,196,80,331.03999999999996
287,378,197,80,331.31
288,377,198,80,330.98
289,377,199,80,331.25
290,376,200,80,330.90999999999997
291,376,201,80,331.19
