Move_right,Move_left,Aim_right,Aim_left,Shoot,Nothing
0.9723087,0.5790764,0.70215166,0.71296936,-0.13984658,0.69813377
0.9723087,0.5790764,0.70215166,0.71296936,-0.13984658,0.69813377
1.0804933,0.5638632,0.7959058,0.814735,-0.027039334,0.7935669
1.1986512,0.5673106,0.88622946,0.9142547,0.041795906,0.88888735
1.2911294,0.59162766,0.96589494,1.0012594,0.09651902,0.971367
1.382406,0.6155044,1.0429697,1.0799587,0.14554898,1.0488532
1.38515,0.6111452,1.0404865,1.0775983,0.14273587,1.046486
1.4024614,0.5895681,1.0288227,1.0664644,0.13396642,1.0367122
1.4197696,0.5614451,1.0077575,1.0462301,0.11953336,1.0191532
1.427055,0.5298118,0.97687083,1.0144249,0.09637004,0.99098486
1.4013215,0.49732342,0.928273,0.9624893,0.06146049,0.94156086
1.3527089,0.47086602,0.87503946,0.90250486,0.027608652,0.8841396
1.2565919,0.4380065,0.7907969,0.808765,-0.02103889,0.79375243
1.0973406,0.42763698,0.67681336,0.68200755,-0.08962611,0.6770034
0.94969004,0.418043,0.5606363,0.5599452,-0.176041,0.56105113
0.83644307,0.384492,0.45669222,0.4565861,-0.28435513,0.45751646
0.73041433,0.34221327,0.36350337,0.37902686,-0.40102345,0.3774085
0.65598434,0.3073957,0.28639793,0.3129923,-0.50104874,0.31368306
0.53181595,0.33147237,0.21813059,0.24903795,-0.59671926,0.25350475
0.41645414,0.37973395,0.1721799,0.20699753,-0.6626881,0.21462499
0.3055404,0.44331607,0.14082205,0.17706616,-0.7099692,0.1858463
0.21951638,0.49617836,0.12036242,0.15727071,-0.7438649,0.16775276
0.16369015,0.5173195,0.10799791,0.1457518,-0.7734138,0.15866983
0.18006547,0.49858788,0.10098779,0.13895378,-0.7930556,0.15362628
0.19935146,0.48508242,0.100544065,0.13852169,-0.79620063,0.1539878
0.2731211,0.44798577,0.11084813,0.1488054,-0.7751179,0.1641435
0.33173564,0.44075775,0.13141549,0.16782102,-0.72544897,0.18101795
0.46306902,0.39921656,0.16738328,0.20194927,-0.6647053,0.21317255
0.61077356,0.35522765,0.22046691,0.2493694,-0.5907117,0.26030275
0.70896035,0.31508434,0.2634061,0.2898061,-0.53982246,0.29871386
0.7360483,0.28146473,0.27810073,0.30514723,-0.529486,0.31288272
0.682105,0.28175732,0.2610893,0.29025617,-0.55219865,0.2963988
0.5230056,0.33517054,0.21089265,0.24342205,-0.61131716,0.2496673
0.4088219,0.38360763,0.1668689,0.20271027,-0.6731606,0.21193318
0.29705635,0.448652,0.13743296,0.17357406,-0.71692705,0.18366006
0.21086201,0.50225616,0.11863172,0.15502432,-0.7474842,0.16643566
0.15688515,0.523655,0.10808399,0.14468835,-0.77439743,0.15854806
0.17478512,0.5040348,0.10237504,0.13875104,-0.79122794,0.15390481
0.19402264,0.48990086,0.10241211,0.13859142,-0.7939686,0.15440443
0.26674056,0.452126,0.1124973,0.14873594,-0.7736638,0.16408707
0.32325763,0.44438526,0.13184476,0.1674653,-0.72720313,0.18030126
0.45451558,0.40181857,0.16689289,0.20122282,-0.668749,0.2118212
0.6041709,0.35588628,0.21936756,0.24872588,-0.59741515,0.25905958
0.70510393,0.3124473,0.2617645,0.28916073,-0.5504251,0.29705554
0.7338898,0.27776632,0.2754449,0.30421442,-0.54440874,0.3108792
0.6808974,0.2776334,0.25756347,0.28910068,-0.57011825,0.2943104
0.52068275,0.33127123,0.20600724,0.2420438,-0.63266337,0.24786888
0.40633044,0.38228762,0.16075286,0.20051377,-0.69966644,0.21025239
0.29245877,0.44926596,0.1305834,0.17090254,-0.74583477,0.18153569
0.2032666,0.5067795,0.11173984,0.15257461,-0.77764404,0.16462772
0.14506167,0.5317172,0.10225083,0.14281361,-0.80590045,0.15671158
0.16144499,0.51516944,0.09764841,0.13710117,-0.8203097,0.15244521
0.17999479,0.50235283,0.098493025,0.13721101,-0.81971616,0.15310632
0.25462973,0.4629251,0.10914348,0.14799447,-0.7974689,0.1629056
0.31575248,0.45330238,0.12912725,0.16706811,-0.7474992,0.17960362
0.44979376,0.40816668,0.16537094,0.20140396,-0.6869381,0.21124761
0.6023609,0.35903794,0.21865311,0.24921426,-0.61344653,0.25919622
0.70398754,0.3141784,0.26250544,0.2900206,-0.56434894,0.2964509
0.7333204,0.2781379,0.27692738,0.3056221,-0.5571059,0.31053883
0.67976606,0.27738106,0.25938022,0.29103848,-0.5816621,0.29416642
0.52013427,0.3302432,0.20749527,0.24418384,-0.6441906,0.24845326
0.40564126,0.37987396,0.16168246,0.20229855,-0.71108246,0.21082026
0.29236388,0.44594494,0.1318045,0.17343275,-0.75687665,0.18212572
0.20198603,0.5025466,0.11259493,0.15483549,-0.7898967,0.16485697
